version 1.00
title	cid	seller_cids	stuff_status	location_state	location_city	item_type	price	auction_increment	num	valid_thru	freight_payer	post_fee	ems_fee	express_fee	has_invoice	has_warranty	approve_status	has_showcase	list_time	description	cateProps	postage_id	has_discount	modified	upload_fail_msg	picture_status	auction_point	picture	video	skuProps	inputPids	inputValues	outer_id	propAlias	auto_fill	num_id	local_cid	navigation_type	user_name	syncStatus	is_lighting_consigment	is_xinpin	foodparame	sub_stock_type	item_size	item_weight	buyareatype	global_stock_type	global_stock_country	wireless_desc
宝贝名称	宝贝类目	店铺类目	新旧程度	省	城市	出售方式	宝贝价格	加价幅度	宝贝数量	有效期	运费承担	平邮	EMS	快递	发票	保修	放入仓库	橱窗推荐	开始时间	宝贝描述	宝贝属性	邮费模版ID	会员打折	修改时间	上传状态	图片状态	返点比例	新图片	视频	销售属性组合	用户输入ID串	用户输入名-值对	商家编码	销售属性别名	代充类型	数字ID	本地ID	宝贝分类	账户名称	宝贝状态	闪电发货	新品	食品专项	库存计数	物流体积	物流重量	采购地	库存类型	国家地区	无线详情
"正品乐扣乐扣Hello Kitty bebe儿童卡通水杯运动水壶HPP727"	50006897	""	1	"上海"	"上海"	1	26.8	0	802	7	1	0	0	0	1	0	1	1	""	"<P><IMG style=""WIDTH: 790px"" align=absMiddle src=""file:///D:/甩手掌柜数据包/淘宝助理5数据包20140304213008/contentPic/儿童卡通水杯运动水壶99/99-1.jpg""> </P><TABLE border=0 cellSpacing=0 cellPadding=0 width=640><TBODY><TR><TD><TABLE border=0 cellSpacing=0 cellPadding=1 width=630><TBODY><TR><TD><TABLE border=0 cellSpacing=0 cellPadding=0 width=786 bgColor=#b4b4b4 height=257><TBODY><TR><TD><TABLE style=""WIDTH: 790px"" border=0 cellSpacing=1 cellPadding=0 width=784 height=110><TBODY><TR><TD bgColor=#ffffff height=25 width=60><DIV align=center>货号 </DIV></TD><TD bgColor=#ffffff width=50><DIV align=center>数量 </DIV></TD><TD bgColor=#ffffff width=50>容量 </TD><TD bgColor=#ffffff width=50><DIV align=center>颜色 </DIV></TD><TD bgColor=#ffffff><DIV align=center>用途 </DIV></TD><TD bgColor=#ffffff width=130><DIV align=center>规格 </DIV></TD></TR><TR><TD bgColor=#ebebeb height=25><DIV align=center>HPP727 </DIV></TD><TD bgColor=#ffffff><DIV align=center>1个 </DIV></TD><TD bgColor=#ffffff>500ml </TD><TD bgColor=#ffffff>&nbsp;粉色 </TD><TD style=""PADDING-BOTTOM: 0px; PADDING-LEFT: 0px; PADDING-RIGHT: 0px; PADDING-TOP: 0px"" bgColor=#ffffff><DIV align=left><BR>- 瓶身设有凹槽，方便手握。方便的盖子，可以冷冻使用 </DIV></TD><TD bgColor=#ebebeb><DIV align=center><DIV align=center><DIV align=center><TABLE style=""WIDTH: 89px"" border=0 cellSpacing=0 cellPadding=0 width=89><TBODY><TR height=53><TD style=""WIDTH: 89px; HEIGHT: 53px"" height=53><TABLE style=""WIDTH: 89px"" border=0 cellSpacing=0 cellPadding=0 width=89><TBODY><TR height=53><TD style=""WIDTH: 89px; HEIGHT: 53px"" height=53><TABLE style=""WIDTH: 89px"" border=0 cellSpacing=0 cellPadding=0 width=89><TBODY><TR height=53><TD style=""WIDTH: 89px; HEIGHT: 53px"" height=53><TABLE border=0 cellSpacing=0 cellPadding=0 width=130 height=67><TBODY><TR height=53><TD style=""WIDTH: 89px; HEIGHT: 53px"" height=53>73*73*197mm<BR></TD></TR></TBODY></TABLE></TD></TR></TBODY></TABLE></TD></TR></TBODY></TABLE></TD></TR></TBODY></TABLE></DIV></DIV></DIV></TD></TR></TBODY></TABLE></TD></TR><TR><TD bgColor=#ffffff height=20 vAlign=top><DIV align=right><STRONG>总1个</STRONG> </DIV></TD></TR><TR><TD bgColor=#ffffff>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <TABLE border=0 cellSpacing=0 cellPadding=0 width=785 height=95><TBODY><TR><TD height=20>颜&nbsp; &nbsp;色 : 粉色<BR></TD></TR><TR><TD height=20>材&nbsp;&nbsp; 料 : 杯身、瓶盖-聚丙稀(PP)/硅素树脂，<BR></TD></TR><TR><TD height=20><SPAN style=""COLOR: #000000"">产&nbsp; &nbsp;地 : 中国<BR></SPAN></TD></TR><TR><TD height=20><SPAN style=""COLOR: #000000"">经销商: （株）乐扣乐扣<BR></SPAN></TD></TR></TBODY></TABLE></TD></TR></TBODY></TABLE></TD></TR></TBODY></TABLE></TD></TR></TBODY></TABLE><P><SPAN style=""COLOR: #ff0000""><SPAN style=""FONT-SIZE: 18px""><SPAN style=""FONT-FAMILY: microsoft yahei""><SPAN style=""BACKGROUND-COLOR: #ff9900"">环保PP材质 底部数字为5,材质是环保型的，但是材质比较薄，不建议装开水，以80度以下的水为宜，并且不要马上盖上盖子，谢谢理解。</SPAN></SPAN></SPAN></SPAN> </P><P><SPAN style=""COLOR: #e06666""><SPAN style=""FONT-SIZE: 18px""><SPAN style=""FONT-FAMILY: microsoft yahei""></SPAN></SPAN></SPAN></P><P><IMG style=""WIDTH: 790px"" align=absMiddle src=""file:///D:/甩手掌柜数据包/淘宝助理5数据包20140304213008/contentPic/儿童卡通水杯运动水壶99/99-2.jpg""> </P><P><SPAN style=""COLOR: #cc0000""><SPAN style=""FONT-SIZE: 24px"">下面的</SPAN></SPAN><SPAN style=""LINE-HEIGHT: 36px; COLOR: #cc0000; FONT-SIZE: 24px"">带提绳是</SPAN><SPAN style=""COLOR: #cc0000; FONT-SIZE: 24px"">Hello Bebe系列的哦</SPAN> </P><P><IMG style=""WIDTH: 790px"" align=absMiddle src=""file:///D:/甩手掌柜数据包/淘宝助理5数据包20140304213008/contentPic/儿童卡通水杯运动水壶99/99-3.jpg""> </P><P><IMG style=""WIDTH: 790px"" align=absMiddle src=""file:///D:/甩手掌柜数据包/淘宝助理5数据包20140304213008/contentPic/儿童卡通水杯运动水壶99/99-4.jpg""> </P><P><SPAN style=""FONT-SIZE: 18px""><SPAN style=""FONT-FAMILY: microsoft yahei""><SPAN style=""COLOR: #cc0000"">以上四个色是Hello Bebe 的款的哦,350ML的,一共四个色,带提绳,下面的Hello kitty的不带提绳</SPAN></SPAN></SPAN> </P><P><IMG style=""WIDTH: 790px"" align=absMiddle src=""file:///D:/甩手掌柜数据包/淘宝助理5数据包20140304213008/contentPic/儿童卡通水杯运动水壶99/99-5.jpg""> </P><P><SPAN style=""COLOR: #cc0000""><SPAN style=""FONT-SIZE: 24px"">下面的</SPAN></SPAN><SPAN style=""LINE-HEIGHT: 36px; COLOR: #cc0000; FONT-SIZE: 24px"">带提绳是</SPAN><SPAN style=""COLOR: #cc0000; FONT-SIZE: 24px"">Hello Bebe系列的哦</SPAN><BR><IMG style=""WIDTH: 790px"" align=absMiddle src=""file:///D:/甩手掌柜数据包/淘宝助理5数据包20140304213008/contentPic/儿童卡通水杯运动水壶99/99-6.jpg""> </P><P><IMG style=""WIDTH: 790px"" align=absMiddle src=""file:///D:/甩手掌柜数据包/淘宝助理5数据包20140304213008/contentPic/儿童卡通水杯运动水壶99/99-7.jpg""> </P><P><SPAN style=""FONT-SIZE: 18px""><SPAN style=""COLOR: #990000"">&nbsp;以上4款是Hello Bebe 的款,500ML的,带提绳,上面的花是印上去的</SPAN></SPAN> </P>"	"20000:31916;124534270:3224674;124534270:20213;20608:31755;20138:493280784;10382229:95762024;21299:27772;20021:27161;1627207:3232483;1627207:3232484;1627207:3232481;1627207:90554;1627207:3232480;1627207:80882;1627207:28326;1627207:28335;1627207:28338;1627207:28327;1627207:28324;"	0	1	""	200		0	"t1lxfhfc0fxxxxxxxx_!!0-item_pic:1:0:|;t1uzrpfixcxxxxxxxx_!!0-item_pic:1:1:|;t2ucutxmrxxxxxxxxx_!!1580212670:1:2:|;t2zzatxnnxxxxxxxxx_!!1580212670:1:3:|;t2b73txjpxxxxxxxxx_!!1580212670:1:4:|;t2gblnxxxdxxxxxxxx_!!1580212670:2:0:1627207:3232483|;t2msorxcfaxxxxxxxx_!!1580212670:2:0:1627207:3232484|;t2nbgsxbxaxxxxxxxx_!!1580212670:2:0:1627207:3232481|;t2jhcsxnjxxxxxxxxx_!!1580212670:2:0:1627207:90554|;t2c3qyxe8axxxxxxxx_!!1580212670:2:0:1627207:3232480|;t2simyxl4axxxxxxxx_!!1580212670:2:0:1627207:80882|;t2tkwmxglaxxxxxxxx_!!1580212670:2:0:1627207:28326|;t2r0iaxxjbxxxxxxxx_!!1580212670:2:0:1627207:28335|;t2b0qoxc8xxxxxxxxx_!!1580212670:2:0:1627207:28338|;t2.ownxhvxxxxxxxxx_!!1580212670:2:0:1627207:28327|;t2u.zqxcxbxxxxxxxx_!!1580212670:2:0:1627207:28324|;"	""	"30.8:58::1627207:3232483;30.8:90::1627207:3232484;30.8:87::1627207:3232481;30.8:88::1627207:90554;30.8:66::1627207:3232480;30.8:::1627207:80882;26.8:126::1627207:28326;26.8:89::1627207:28335;26.8:87::1627207:28338;26.8:18::1627207:28327;26.8:93::1627207:28324;"	"13021751"	"HPP727T"	"26259444704"	"1627207:3232483:HPP727粉色盖500ml;1627207:3232484:HPP727蓝色盖500ml;1627207:3232481:HPP727绿色盖500ml;1627207:90554:HPP727橙色盖500ml;1627207:3232480:HPP727-CKT500ml;1627207:80882:HPP727-AKT500ml;1627207:28326:HPP726-AKT350m;1627207:28335:HPP726绿色盖350ml;1627207:28338:HPP726蓝色盖-350ml;1627207:28327:HPP726粉色盖350ml;1627207:28324:HPP726橙色盖350ml"	0	26259444704	0		wsx686868	0	0	0	"period:0;product_date_end:2012-08-08;product_date_start:2012-08-08;stock_date_end:2012-08-08;stock_date_start:2012-08-08"	0		0	0	-1		
